county,year,official_employed_u27,official_self_emp_u27,avg_employment_rate_u27,estimated_platform_workers,platform_share_pct,median_platform_income_eur,top_platform,total_cases,worker_wins,misclass_cases,worker_win_rate,deprivation_score,deprivation_category,urbanisation_rate,estimated_true_gig_workers,hidden_work_gap_pct,gap_score,risk_category,gig_yoy_growth
Carlow,2018,600.75,81.0,61.666666666666664,12,19.2,10670,Bolt,1,0,1,0.0,28.9,Marginally below average,41.0,30,5.0,21.4,Low,
Carlow,2019,634.75,93.25,62.725,16,21.3,14237,Fiverr,0,0,0,0.0,28.9,Marginally below average,41.0,40,6.3,32.5,Medium,33.3
Carlow,2020,566.75,91.5,55.60833333333333,17,24.6,13588,JustEat,0,0,0,0.0,28.9,Marginally below average,41.0,42,7.4,41.9,Medium,5.0
Carlow,2021,619.25,96.0,61.25833333333333,14,30.1,13721,Bolt,0,0,0,0.0,28.9,Marginally below average,41.0,35,5.7,27.4,Medium,-16.7
Carlow,2022,650.0,103.0,66.625,15,35.5,9283,Deliveroo,2,0,0,0.0,28.9,Marginally below average,41.0,38,5.8,28.2,Medium,8.6
Carlow,2023,621.5,92.0,67.34166666666667,18,38.1,11503,Other,1,0,1,0.0,28.9,Marginally below average,41.0,45,7.2,40.2,Medium,18.4
Carlow,2024,661.5,106.75,68.04166666666667,33,42.2,7940,Upwork,1,1,0,100.0,28.9,Marginally below average,41.0,82,12.4,84.6,Critical,82.2
Carlow,2025,719.25,127.5,69.71666666666667,30,47.5,14847,Other,2,1,0,50.0,28.9,Marginally below average,41.0,75,10.4,67.5,High,-8.5
Cavan,2018,595.0,95.0,61.416666666666664,6,16.3,7991,JustEat,1,0,1,0.0,34.2,Disadvantaged,28.0,15,2.5,0.0,Low,
Cavan,2019,628.25,96.0,61.98333333333333,12,20.6,5911,Fiverr,0,0,0,0.0,34.2,Disadvantaged,28.0,30,4.8,19.7,Low,100.0
Cavan,2020,525.25,84.5,56.208333333333336,13,26.9,9940,Bolt,2,0,0,0.0,34.2,Disadvantaged,28.0,32,6.1,30.8,Medium,6.7
Cavan,2021,580.0,94.0,61.15833333333334,17,31.5,14323,Deliveroo,0,0,0,0.0,34.2,Disadvantaged,28.0,42,7.2,40.2,Medium,31.2
Cavan,2022,611.5,113.75,65.81666666666666,15,32.8,14437,Deliveroo,2,0,0,0.0,34.2,Disadvantaged,28.0,38,6.2,31.6,Medium,-9.5
Cavan,2023,673.0,108.75,65.70833333333333,29,39.5,11965,Fiverr,1,1,0,100.0,34.2,Disadvantaged,28.0,72,10.7,70.1,High,89.5
Cavan,2024,641.0,130.5,67.79166666666667,30,42.3,13089,JustEat,1,0,0,0.0,34.2,Disadvantaged,28.0,75,11.7,78.6,Critical,4.2
Cavan,2025,669.75,106.5,68.95833333333334,33,47.9,17138,Deliveroo,0,0,0,0.0,34.2,Disadvantaged,28.0,82,12.2,82.9,Critical,9.3
Clare,2018,1048.0,169.5,62.416666666666664,15,17.0,12685,JustEat,0,0,0,0.0,28.4,Marginally below average,38.0,38,3.6,9.4,Low,
Clare,2019,1057.25,128.25,62.35,22,20.2,9847,TaskRabbit,1,0,0,0.0,28.4,Marginally below average,38.0,55,5.2,23.1,Low,44.7
Clare,2020,952.5,159.0,55.708333333333336,32,25.7,14448,Bolt,0,0,0,0.0,28.4,Marginally below average,38.0,80,8.4,50.4,High,45.5
