county,year,official_employed_u27,official_self_emp_u27,avg_employment_rate_u27
Carlow,2018,600.75,81.0,61.666666666666664
Carlow,2019,634.75,93.25,62.725
Carlow,2020,566.75,91.5,55.60833333333333
Carlow,2021,619.25,96.0,61.25833333333333
Carlow,2022,650.0,103.0,66.625
Carlow,2023,621.5,92.0,67.34166666666667
Carlow,2024,661.5,106.75,68.04166666666667
Carlow,2025,719.25,127.5,69.71666666666667
Cavan,2018,595.0,95.0,61.416666666666664
Cavan,2019,628.25,96.0,61.98333333333333
Cavan,2020,525.25,84.5,56.208333333333336
Cavan,2021,580.0,94.0,61.15833333333334
Cavan,2022,611.5,113.75,65.81666666666666
Cavan,2023,673.0,108.75,65.70833333333333
Cavan,2024,641.0,130.5,67.79166666666667
Cavan,2025,669.75,106.5,68.95833333333334
Clare,2018,1048.0,169.5,62.416666666666664
Clare,2019,1057.25,128.25,62.35
Clare,2020,952.5,159.0,55.708333333333336
Clare,2021,1001.75,173.0,60.21666666666666
Clare,2022,1105.25,163.5,65.54166666666667
Clare,2023,1022.25,155.75,66.65833333333335
Clare,2024,1220.25,209.0,67.97500000000001
Clare,2025,1146.75,202.5,69.29166666666667
Cork,2018,4592.5,694.0,61.791666666666664
Cork,2019,4526.5,666.25,62.53333333333333
Cork,2020,4243.25,614.75,56.55833333333334
Cork,2021,4261.0,753.75,61.125
Cork,2022,4951.75,713.25,65.56666666666666
Cork,2023,4934.0,870.75,65.94166666666666
Cork,2024,5138.5,882.5,68.78333333333335
Cork,2025,4969.25,860.75,69.24166666666666
Donegal,2018,1077.25,152.0,61.708333333333336
Donegal,2019,1084.25,147.0,63.275
Donegal,2020,948.75,150.5,56.208333333333336
Donegal,2021,1024.25,150.75,60.80833333333334
Donegal,2022,1094.0,166.0,66.39999999999999
Donegal,2023,1136.0,158.25,66.69166666666666
Donegal,2024,1036.0,165.0,68.52499999999999
Donegal,2025,1138.0,194.5,69.33333333333333
Dublin,2018,10884.75,1625.5,61.775
Dublin,2019,10031.5,1475.25,61.699999999999996
Dublin,2020,8792.0,1579.5,56.666666666666664
