county,hidden_work_gap_pct,gap_score,risk_category,deprivation_score,predicted_high_risk,high_risk_probability,prediction_correct,vulnerability_score
Monaghan,12.3,83.8,Critical,33.7,1,0.986,1,87.8
Mayo,12.6,86.3,Critical,37.1,1,0.723,1,86.8
Wexford,14.2,100.0,Critical,29.3,1,0.868,1,86.4
Offaly,12.7,87.2,Critical,30.5,1,0.997,1,86.0
Tipperary,12.5,85.5,Critical,31.2,1,0.984,1,85.9
Kerry,12.7,87.2,Critical,33.8,1,0.655,1,82.4
Cavan,12.2,82.9,Critical,34.2,1,0.701,1,82.3
Waterford,11.9,80.3,Critical,27.9,1,0.982,1,80.9
Donegal,9.7,61.5,High,38.6,1,0.694,1,79.5
Galway,11.5,76.9,Critical,26.1,1,0.934,1,77.0
Leitrim,10.2,65.8,High,40.3,0,0.311,0,75.0
Sligo,9.4,59.0,High,32.4,1,0.74,1,73.4
Carlow,10.4,67.5,High,28.9,1,0.687,1,71.7
Roscommon,7.4,41.9,Medium,35.8,1,0.666,0,69.7
Longford,6.9,37.6,Medium,39.1,1,0.558,0,69.4
Clare,8.5,51.3,High,28.4,1,0.769,1,67.5
Dublin,10.4,67.5,High,18.2,1,0.845,1,64.3
Kilkenny,9.2,57.3,High,25.6,1,0.647,1,64.3
Louth,8.4,50.4,High,24.5,1,0.777,1,63.5
Laois,7.5,42.7,Medium,29.8,1,0.629,0,63.3
Limerick,7.3,41.0,Medium,28.7,0,0.252,1,54.1
Wicklow,6.2,31.6,Medium,19.2,1,0.86,0,53.7
Kildare,9.7,61.5,High,15.3,1,0.538,1,53.3
Westmeath,6.8,36.8,Medium,27.1,0,0.214,1,50.3
Cork,5.9,29.1,Medium,22.4,0,0.284,1,44.5
Meath,5.9,29.1,Medium,16.8,0,0.319,1,39.7
