date,term,interest,year,month
2018-01-01,Deliveroo Ireland,34,2018,1
2018-01-01,Fiverr Ireland,30,2018,1
2018-01-01,side hustle Ireland,35,2018,1
2018-01-01,zero hours contract Ireland,29,2018,1
2018-01-01,gig work Ireland,38,2018,1
2018-02-01,Deliveroo Ireland,38,2018,2
2018-02-01,Fiverr Ireland,38,2018,2
2018-02-01,side hustle Ireland,46,2018,2
2018-02-01,zero hours contract Ireland,34,2018,2
2018-02-01,gig work Ireland,34,2018,2
2018-03-01,Deliveroo Ireland,43,2018,3
2018-03-01,Fiverr Ireland,36,2018,3
2018-03-01,side hustle Ireland,47,2018,3
2018-03-01,zero hours contract Ireland,44,2018,3
2018-03-01,gig work Ireland,37,2018,3
2018-04-01,Deliveroo Ireland,29,2018,4
2018-04-01,Fiverr Ireland,31,2018,4
2018-04-01,side hustle Ireland,36,2018,4
2018-04-01,zero hours contract Ireland,40,2018,4
2018-04-01,gig work Ireland,44,2018,4
2018-05-01,Deliveroo Ireland,35,2018,5
2018-05-01,Fiverr Ireland,31,2018,5
2018-05-01,side hustle Ireland,35,2018,5
2018-05-01,zero hours contract Ireland,36,2018,5
2018-05-01,gig work Ireland,42,2018,5
2018-06-01,Deliveroo Ireland,38,2018,6
2018-06-01,Fiverr Ireland,27,2018,6
2018-06-01,side hustle Ireland,35,2018,6
2018-06-01,zero hours contract Ireland,28,2018,6
2018-06-01,gig work Ireland,28,2018,6
2018-07-01,Deliveroo Ireland,34,2018,7
2018-07-01,Fiverr Ireland,28,2018,7
2018-07-01,side hustle Ireland,32,2018,7
2018-07-01,zero hours contract Ireland,31,2018,7
2018-07-01,gig work Ireland,28,2018,7
2018-08-01,Deliveroo Ireland,28,2018,8
2018-08-01,Fiverr Ireland,27,2018,8
2018-08-01,side hustle Ireland,21,2018,8
2018-08-01,zero hours contract Ireland,29,2018,8
2018-08-01,gig work Ireland,23,2018,8
2018-09-01,Deliveroo Ireland,21,2018,9
2018-09-01,Fiverr Ireland,30,2018,9
2018-09-01,side hustle Ireland,23,2018,9
2018-09-01,zero hours contract Ireland,31,2018,9
2018-09-01,gig work Ireland,31,2018,9
2018-10-01,Deliveroo Ireland,25,2018,10
2018-10-01,Fiverr Ireland,33,2018,10
2018-10-01,side hustle Ireland,26,2018,10
2018-10-01,zero hours contract Ireland,27,2018,10
2018-10-01,gig work Ireland,30,2018,10
2018-11-01,Deliveroo Ireland,41,2018,11
2018-11-01,Fiverr Ireland,36,2018,11
2018-11-01,side hustle Ireland,31,2018,11
2018-11-01,zero hours contract Ireland,32,2018,11
2018-11-01,gig work Ireland,23,2018,11
2018-12-01,Deliveroo Ireland,41,2018,12
2018-12-01,Fiverr Ireland,40,2018,12
2018-12-01,side hustle Ireland,37,2018,12
2018-12-01,zero hours contract Ireland,39,2018,12
2018-12-01,gig work Ireland,25,2018,12
2019-01-01,Deliveroo Ireland,35,2019,1
2019-01-01,Fiverr Ireland,49,2019,1
2019-01-01,side hustle Ireland,39,2019,1
2019-01-01,zero hours contract Ireland,44,2019,1
2019-01-01,gig work Ireland,36,2019,1
2019-02-01,Deliveroo Ireland,41,2019,2
2019-02-01,Fiverr Ireland,53,2019,2
2019-02-01,side hustle Ireland,43,2019,2
2019-02-01,zero hours contract Ireland,46,2019,2
2019-02-01,gig work Ireland,44,2019,2
2019-03-01,Deliveroo Ireland,46,2019,3
2019-03-01,Fiverr Ireland,46,2019,3
2019-03-01,side hustle Ireland,35,2019,3
2019-03-01,zero hours contract Ireland,48,2019,3
2019-03-01,gig work Ireland,43,2019,3
2019-04-01,Deliveroo Ireland,54,2019,4
2019-04-01,Fiverr Ireland,41,2019,4
2019-04-01,side hustle Ireland,42,2019,4
2019-04-01,zero hours contract Ireland,57,2019,4
2019-04-01,gig work Ireland,48,2019,4
2019-05-01,Deliveroo Ireland,37,2019,5
2019-05-01,Fiverr Ireland,43,2019,5
2019-05-01,side hustle Ireland,36,2019,5
2019-05-01,zero hours contract Ireland,44,2019,5
2019-05-01,gig work Ireland,38,2019,5
2019-06-01,Deliveroo Ireland,48,2019,6
2019-06-01,Fiverr Ireland,41,2019,6
2019-06-01,side hustle Ireland,41,2019,6
2019-06-01,zero hours contract Ireland,44,2019,6
2019-06-01,gig work Ireland,44,2019,6
2019-07-01,Deliveroo Ireland,32,2019,7
2019-07-01,Fiverr Ireland,36,2019,7
2019-07-01,side hustle Ireland,33,2019,7
2019-07-01,zero hours contract Ireland,46,2019,7
2019-07-01,gig work Ireland,24,2019,7
2019-08-01,Deliveroo Ireland,30,2019,8
2019-08-01,Fiverr Ireland,33,2019,8
2019-08-01,side hustle Ireland,34,2019,8
2019-08-01,zero hours contract Ireland,34,2019,8
2019-08-01,gig work Ireland,33,2019,8
2019-09-01,Deliveroo Ireland,32,2019,9
