county,year,total_cases,worker_wins,misclass_cases,worker_win_rate
Carlow,2018,1,0,1,0.0
Carlow,2022,2,0,0,0.0
Carlow,2023,1,0,1,0.0
Carlow,2024,1,1,0,100.0
Carlow,2025,2,1,0,50.0
Cavan,2018,1,0,1,0.0
Cavan,2020,2,0,0,0.0
Cavan,2022,2,0,0,0.0
Cavan,2023,1,1,0,100.0
Cavan,2024,1,0,0,0.0
Clare,2019,1,0,0,0.0
Clare,2021,1,1,0,100.0
Clare,2023,1,0,1,0.0
Clare,2025,3,0,2,0.0
Cork,2018,3,1,1,33.3
Cork,2019,3,1,1,33.3
Cork,2020,2,2,2,100.0
Cork,2021,11,5,5,45.5
Cork,2022,6,2,3,33.3
Cork,2023,6,3,3,50.0
Cork,2024,1,1,0,100.0
Cork,2025,7,3,2,42.9
Donegal,2018,1,0,0,0.0
Donegal,2020,2,2,2,100.0
Donegal,2022,1,0,0,0.0
Donegal,2023,1,1,1,100.0
Donegal,2024,2,1,2,50.0
Donegal,2025,2,1,0,50.0
Dublin,2018,4,0,1,0.0
Dublin,2019,7,2,4,28.6
Dublin,2020,10,3,3,30.0
Dublin,2021,11,5,4,45.5
Dublin,2022,17,3,6,17.6
Dublin,2023,12,2,4,16.7
Dublin,2024,15,5,8,33.3
Dublin,2025,16,6,5,37.5
Galway,2018,2,1,1,50.0
Galway,2019,2,1,0,50.0
Galway,2020,4,2,2,50.0
Galway,2021,2,0,1,0.0
Galway,2022,6,3,1,50.0
Galway,2023,1,1,1,100.0
Galway,2024,4,1,1,25.0
Galway,2025,7,6,4,85.7
Kerry,2018,1,0,0,0.0
Kerry,2020,2,2,0,100.0
Kerry,2021,4,2,3,50.0
Kerry,2022,1,1,0,100.0
Kerry,2023,1,1,0,100.0
Kildare,2018,2,0,1,0.0
Kildare,2019,2,1,0,50.0
Kildare,2020,2,0,2,0.0
Kildare,2021,2,1,1,50.0
Kildare,2022,4,3,1,75.0
Kildare,2023,2,0,1,0.0
Kildare,2024,6,3,0,50.0
Kildare,2025,2,0,2,0.0
Kilkenny,2019,1,0,0,0.0
Kilkenny,2022,2,0,2,0.0
Kilkenny,2023,1,0,0,0.0
Kilkenny,2024,2,1,0,50.0
Kilkenny,2025,1,1,1,100.0
Laois,2021,1,0,0,0.0
Leitrim,2022,1,1,0,100.0
Leitrim,2024,1,0,1,0.0
Limerick,2018,1,0,0,0.0
Limerick,2019,3,1,2,33.3
Limerick,2021,1,1,0,100.0
Limerick,2023,2,0,0,0.0
Limerick,2024,2,0,1,0.0
Limerick,2025,2,1,0,50.0
Longford,2021,1,0,0,0.0
Longford,2023,1,0,0,0.0
Longford,2024,1,0,1,0.0
Louth,2018,1,0,0,0.0
Louth,2019,1,1,0,100.0
Louth,2020,1,1,1,100.0
Louth,2021,1,0,0,0.0
Louth,2022,2,1,1,50.0
Louth,2023,1,1,0,100.0
Louth,2024,4,1,1,25.0
Louth,2025,1,0,1,0.0
Mayo,2020,1,1,0,100.0
Mayo,2021,2,1,1,50.0
Mayo,2022,2,1,0,50.0
Mayo,2023,1,0,1,0.0
Mayo,2024,2,1,0,50.0
Mayo,2025,2,2,0,100.0
Meath,2018,2,0,1,0.0
Meath,2019,3,0,0,0.0
Meath,2020,3,3,1,100.0
Meath,2021,3,2,3,66.7
Meath,2022,2,2,1,100.0
Meath,2023,2,2,0,100.0
Meath,2024,4,4,0,100.0
Meath,2025,1,0,1,0.0
Monaghan,2018,2,2,1,100.0
Monaghan,2023,2,1,0,50.0
Monaghan,2024,1,0,1,0.0
Offaly,2019,1,1,1,100.0
Offaly,2021,1,0,1,0.0
Offaly,2023,2,1,0,50.0
Offaly,2025,1,0,1,0.0
Roscommon,2021,3,1,2,33.3
Roscommon,2022,3,0,1,0.0
Sligo,2018,1,0,0,0.0
Sligo,2019,1,1,0,100.0
Sligo,2024,1,0,0,0.0
Tipperary,2018,2,1,0,50.0
Tipperary,2020,1,1,1,100.0
Tipperary,2022,1,1,0,100.0
Tipperary,2023,1,0,1,0.0
Tipperary,2024,2,0,0,0.0
Waterford,2019,1,0,1,0.0
Waterford,2020,2,1,1,50.0
Waterford,2021,2,1,1,50.0
Waterford,2022,1,1,0,100.0
Waterford,2023,5,2,3,40.0
Waterford,2024,3,3,0,100.0
Waterford,2025,3,1,2,33.3
Westmeath,2021,1,0,1,0.0
Westmeath,2022,1,0,0,0.0
Westmeath,2023,1,0,1,0.0
Westmeath,2025,1,0,0,0.0
Wexford,2018,1,0,0,0.0
Wexford,2021,2,1,0,50.0
Wexford,2022,1,0,1,0.0
Wexford,2023,1,1,1,100.0
Wexford,2024,2,1,1,50.0
Wicklow,2018,1,0,1,0.0
Wicklow,2019,1,0,1,0.0
Wicklow,2020,1,0,0,0.0
Wicklow,2021,1,1,0,100.0
Wicklow,2023,4,0,2,0.0
Wicklow,2025,3,1,1,33.3
