county,year,quarter,age_band,population_sample,employed,unemployed,self_employed,employment_rate,self_emp_rate
Carlow,2018,Q1,15-19,270,96,5,18,35.6,18.8
Carlow,2018,Q1,20-24,246,162,8,14,65.9,8.6
Carlow,2018,Q1,25-29,266,215,11,36,80.8,16.7
Carlow,2018,Q1,30-34,332,303,32,33,91.3,10.9
Carlow,2018,Q2,15-19,297,108,9,17,36.4,15.7
Carlow,2018,Q2,20-24,315,213,13,35,67.6,16.4
Carlow,2018,Q2,25-29,382,325,19,30,85.1,9.2
Carlow,2018,Q2,30-34,408,355,42,51,87.0,14.4
Carlow,2018,Q3,15-19,385,135,7,12,35.1,8.9
Carlow,2018,Q3,20-24,356,250,21,33,70.2,13.2
Carlow,2018,Q3,25-29,343,272,25,38,79.3,14.0
Carlow,2018,Q3,30-34,376,333,35,34,88.6,10.2
Carlow,2018,Q4,15-19,264,90,8,11,34.1,12.2
Carlow,2018,Q4,20-24,356,236,20,19,66.3,8.1
Carlow,2018,Q4,25-29,360,301,34,61,83.6,20.3
Carlow,2018,Q4,30-34,320,286,18,45,89.4,15.7
Carlow,2019,Q1,15-19,315,108,7,14,34.3,13.0
Carlow,2019,Q1,20-24,341,236,20,52,69.2,22.0
Carlow,2019,Q1,25-29,296,247,12,48,83.4,19.4
Carlow,2019,Q1,30-34,259,223,16,30,86.1,13.5
Carlow,2019,Q2,15-19,381,130,7,23,34.1,17.7
Carlow,2019,Q2,20-24,365,258,11,34,70.7,13.2
Carlow,2019,Q2,25-29,252,217,23,31,86.1,14.3
Carlow,2019,Q2,30-34,249,215,13,27,86.3,12.6
Carlow,2019,Q3,15-19,269,96,5,15,35.7,15.6
Carlow,2019,Q3,20-24,378,268,26,31,70.9,11.6
Carlow,2019,Q3,25-29,359,299,24,42,83.3,14.0
Carlow,2019,Q3,30-34,405,361,20,76,89.1,21.1
Carlow,2019,Q4,15-19,312,109,8,23,34.9,21.1
Carlow,2019,Q4,20-24,361,251,20,27,69.5,10.8
Carlow,2019,Q4,25-29,397,320,20,33,80.6,10.3
Carlow,2019,Q4,30-34,413,373,23,36,90.3,9.7
Carlow,2020,Q1,15-19,248,77,5,16,31.0,20.8
Carlow,2020,Q1,20-24,391,235,16,51,60.1,21.7
Carlow,2020,Q1,25-29,355,259,19,52,73.0,20.1
Carlow,2020,Q1,30-34,317,244,19,35,77.0,14.3
Carlow,2020,Q2,15-19,307,94,6,20,30.6,21.3
Carlow,2020,Q2,20-24,351,212,17,30,60.4,14.2
Carlow,2020,Q2,25-29,388,284,16,52,73.2,18.3
Carlow,2020,Q2,30-34,355,280,17,25,78.9,8.9
Carlow,2020,Q3,15-19,273,90,6,7,33.0,7.8
Carlow,2020,Q3,20-24,307,192,18,31,62.5,16.1
Carlow,2020,Q3,25-29,364,274,12,37,75.3,13.5
Carlow,2020,Q3,30-34,360,294,20,52,81.7,17.7
Carlow,2020,Q4,15-19,299,94,9,18,31.4,19.1
Carlow,2020,Q4,20-24,300,183,10,16,61.0,8.7
Carlow,2020,Q4,25-29,360,273,28,36,75.8,13.2
Carlow,2020,Q4,30-34,386,314,22,69,81.3,22.0
Carlow,2021,Q1,15-19,381,129,10,24,33.9,18.6
Carlow,2021,Q1,20-24,318,216,22,36,67.9,16.7
Carlow,2021,Q1,25-29,411,327,39,75,79.6,22.9
Carlow,2021,Q1,30-34,375,337,30,46,89.9,13.6
Carlow,2021,Q2,15-19,269,94,10,20,34.9,21.3
Carlow,2021,Q2,20-24,255,175,15,17,68.6,9.7
Carlow,2021,Q2,25-29,365,305,26,26,83.6,8.5
Carlow,2021,Q2,30-34,392,353,41,45,90.1,12.7
Carlow,2021,Q3,15-19,341,118,8,27,34.6,22.9
Carlow,2021,Q3,20-24,288,186,14,21,64.6,11.3
Carlow,2021,Q3,25-29,390,320,34,59,82.1,18.4
Carlow,2021,Q3,30-34,249,217,17,39,87.1,18.0
Carlow,2021,Q4,15-19,246,83,9,12,33.7,14.5
Carlow,2021,Q4,20-24,371,258,19,35,69.5,13.6
Carlow,2021,Q4,25-29,324,266,29,32,82.1,12.0
Carlow,2021,Q4,30-34,394,330,30,37,83.8,11.2
Carlow,2022,Q1,15-19,305,114,7,25,37.4,21.9
Carlow,2022,Q1,20-24,250,188,13,44,75.2,23.4
Carlow,2022,Q1,25-29,269,245,11,33,91.1,13.5
Carlow,2022,Q1,30-34,288,267,14,46,92.7,17.2
Carlow,2022,Q2,15-19,409,155,13,15,37.9,9.7
Carlow,2022,Q2,20-24,326,240,16,30,73.6,12.5
Carlow,2022,Q2,25-29,386,349,34,68,90.4,19.5
Carlow,2022,Q2,30-34,313,291,18,61,93.0,21.0
Carlow,2022,Q3,15-19,362,140,11,23,38.7,16.4
Carlow,2022,Q3,20-24,245,180,17,37,73.5,20.6
Carlow,2022,Q3,25-29,381,322,27,50,84.5,15.5
Carlow,2022,Q3,30-34,255,239,19,31,93.7,13.0
Carlow,2022,Q4,15-19,333,128,7,12,38.4,9.4
Carlow,2022,Q4,20-24,255,186,12,40,72.9,21.5
Carlow,2022,Q4,25-29,411,353,31,35,85.9,9.9
Carlow,2022,Q4,30-34,344,325,29,64,94.5,19.7
Carlow,2023,Q1,15-19,320,126,12,12,39.4,9.5
Carlow,2023,Q1,20-24,275,200,15,20,72.7,10.0
Carlow,2023,Q1,25-29,381,353,37,70,92.7,19.8
Carlow,2023,Q1,30-34,257,254,19,32,98.8,12.6
Carlow,2023,Q2,15-19,275,106,9,14,38.5,13.2
Carlow,2023,Q2,20-24,321,238,22,37,74.1,15.5
Carlow,2023,Q2,25-29,313,269,22,30,85.9,11.2
Carlow,2023,Q2,30-34,265,244,12,23,92.1,9.4
Carlow,2023,Q3,15-19,267,104,10,17,39.0,16.3
Carlow,2023,Q3,20-24,305,230,24,33,75.4,14.3
Carlow,2023,Q3,25-29,315,280,20,52,88.9,18.6
Carlow,2023,Q3,30-34,269,248,17,46,92.2,18.5
Carlow,2023,Q4,15-19,372,141,11,27,37.9,19.1
Carlow,2023,Q4,20-24,244,174,15,16,71.3,9.2
Carlow,2023,Q4,25-29,287,265,22,40,92.3,15.1
Carlow,2023,Q4,30-34,353,328,34,71,92.9,21.6
Carlow,2024,Q1,15-19,320,122,14,29,38.1,23.8
Carlow,2024,Q1,20-24,406,300,17,45,73.9,15.0
Carlow,2024,Q1,25-29,315,276,26,28,87.6,10.1
Carlow,2024,Q1,30-34,365,349,27,71,95.6,20.3
Carlow,2024,Q2,15-19,387,155,6,24,40.1,15.5
Carlow,2024,Q2,20-24,357,267,22,49,74.8,18.4
Carlow,2024,Q2,25-29,269,242,16,52,90.0,21.5
Carlow,2024,Q2,30-34,296,290,17,58,98.0,20.0
Carlow,2024,Q3,15-19,323,127,6,30,39.3,23.6
Carlow,2024,Q3,20-24,258,194,13,27,75.2,13.9
Carlow,2024,Q3,25-29,245,220,8,52,89.8,23.6
Carlow,2024,Q3,30-34,262,252,29,50,96.2,19.8
Carlow,2024,Q4,15-19,408,159,14,26,39.0,16.4
Carlow,2024,Q4,20-24,269,204,17,25,75.8,12.3
Carlow,2024,Q4,25-29,409,380,39,40,92.9,10.5
Carlow,2024,Q4,30-34,252,255,30,25,101.2,9.8
Carlow,2025,Q1,15-19,288,117,7,13,40.6,11.1
Carlow,2025,Q1,20-24,416,323,34,76,77.6,23.5
Carlow,2025,Q1,25-29,308,274,26,29,89.0,10.6
Carlow,2025,Q1,30-34,297,284,13,72,95.6,25.4
Carlow,2025,Q2,15-19,388,157,17,20,40.5,12.7
Carlow,2025,Q2,20-24,337,268,26,41,79.5,15.3
Carlow,2025,Q2,25-29,364,335,23,70,92.0,20.9
Carlow,2025,Q2,30-34,399,383,30,36,96.0,9.4
Carlow,2025,Q3,15-19,305,120,11,26,39.3,21.7
Carlow,2025,Q3,20-24,348,271,25,36,77.9,13.3
Carlow,2025,Q3,25-29,391,357,22,84,91.3,23.5
Carlow,2025,Q3,30-34,274,281,11,71,102.6,25.3
Carlow,2025,Q4,15-19,284,107,12,26,37.7,24.3
Carlow,2025,Q4,20-24,307,238,10,28,77.5,11.8
Carlow,2025,Q4,25-29,331,310,23,61,93.7,19.7
Carlow,2025,Q4,30-34,317,324,14,45,102.2,13.9
Cavan,2018,Q1,15-19,347,121,10,14,34.9,11.6
Cavan,2018,Q1,20-24,344,236,16,26,68.6,11.0
Cavan,2018,Q1,25-29,401,317,37,69,79.1,21.8
Cavan,2018,Q1,30-34,390,330,20,45,84.6,13.6
Cavan,2018,Q2,15-19,378,134,7,27,35.4,20.1
Cavan,2018,Q2,20-24,315,221,16,35,70.2,15.8
Cavan,2018,Q2,25-29,374,296,32,46,79.1,15.5
Cavan,2018,Q2,30-34,241,204,14,39,84.6,19.1
Cavan,2018,Q3,15-19,306,111,7,20,36.3,18.0
Cavan,2018,Q3,20-24,304,214,22,42,70.4,19.6
Cavan,2018,Q3,25-29,271,220,13,19,81.2,8.6
Cavan,2018,Q3,30-34,395,352,29,65,89.1,18.5
Cavan,2018,Q4,15-19,370,130,12,24,35.1,18.5
Cavan,2018,Q4,20-24,264,175,13,17,66.3,9.7
Cavan,2018,Q4,25-29,255,205,11,41,80.4,20.0
Cavan,2018,Q4,30-34,386,342,23,32,88.6,9.4
Cavan,2019,Q1,15-19,285,101,7,20,35.4,19.8
Cavan,2019,Q1,20-24,331,235,19,38,71.0,16.2
Cavan,2019,Q1,25-29,360,291,12,55,80.8,18.9
Cavan,2019,Q1,30-34,413,379,42,64,91.8,16.9
Cavan,2019,Q2,15-19,331,118,8,17,35.6,14.4
Cavan,2019,Q2,20-24,373,262,21,38,70.2,14.5
Cavan,2019,Q2,25-29,340,281,25,57,82.6,20.3
Cavan,2019,Q2,30-34,279,255,19,51,91.4,20.0
Cavan,2019,Q3,15-19,392,134,5,22,34.2,16.4
Cavan,2019,Q3,20-24,374,255,23,29,68.2,11.4
Cavan,2019,Q3,25-29,273,221,11,22,81.0,10.0
Cavan,2019,Q3,30-34,351,319,17,58,90.9,18.2
Cavan,2019,Q4,15-19,324,119,9,21,36.7,17.6
Cavan,2019,Q4,20-24,258,174,7,18,67.4,10.3
Cavan,2019,Q4,25-29,399,322,15,47,80.7,14.6
Cavan,2019,Q4,30-34,343,316,15,40,92.1,12.7
Cavan,2020,Q1,15-19,261,80,6,14,30.7,17.5
Cavan,2020,Q1,20-24,256,163,18,15,63.7,9.2
Cavan,2020,Q1,25-29,247,190,8,32,76.9,16.8
Cavan,2020,Q1,30-34,330,262,20,45,79.4,17.2
Cavan,2020,Q2,15-19,263,83,8,7,31.6,8.4
Cavan,2020,Q2,20-24,333,200,18,41,60.1,20.5
Cavan,2020,Q2,25-29,348,260,12,38,74.7,14.6
Cavan,2020,Q2,30-34,244,189,18,20,77.5,10.6
Cavan,2020,Q3,15-19,251,78,4,10,31.1,12.8
Cavan,2020,Q3,20-24,400,255,22,46,63.7,18.0
Cavan,2020,Q3,25-29,259,195,15,33,75.3,16.9
Cavan,2020,Q3,30-34,380,306,30,45,80.5,14.7
Cavan,2020,Q4,15-19,418,132,8,28,31.6,21.2
Cavan,2020,Q4,20-24,335,208,14,47,62.1,22.6
Cavan,2020,Q4,25-29,352,257,12,27,73.0,10.5
Cavan,2020,Q4,30-34,390,312,33,30,80.0,9.6
Cavan,2021,Q1,15-19,344,116,12,11,33.7,9.5
Cavan,2021,Q1,20-24,312,202,19,47,64.7,23.3
Cavan,2021,Q1,25-29,241,194,22,41,80.5,21.1
Cavan,2021,Q1,30-34,275,235,12,43,85.5,18.3
Cavan,2021,Q2,15-19,372,131,10,20,35.2,15.3
