county,year,total_self_assessed_under30,estimated_platform_workers,platform_share_pct,median_platform_income_eur,top_platform
Carlow,2018,66,12,19.2,10670,Bolt
Carlow,2019,79,16,21.3,14237,Fiverr
Carlow,2020,70,17,24.6,13588,JustEat
Carlow,2021,48,14,30.1,13721,Bolt
Carlow,2022,43,15,35.5,9283,Deliveroo
Carlow,2023,48,18,38.1,11503,Other
Carlow,2024,79,33,42.2,7940,Upwork
Carlow,2025,65,30,47.5,14847,Other
Cavan,2018,40,6,16.3,7991,JustEat
Cavan,2019,62,12,20.6,5911,Fiverr
Cavan,2020,52,13,26.9,9940,Bolt
Cavan,2021,55,17,31.5,14323,Deliveroo
Cavan,2022,46,15,32.8,14437,Deliveroo
Cavan,2023,76,29,39.5,11965,Fiverr
Cavan,2024,72,30,42.3,13089,JustEat
Cavan,2025,69,33,47.9,17138,Deliveroo
Clare,2018,90,15,17.0,12685,JustEat
Clare,2019,113,22,20.2,9847,TaskRabbit
Clare,2020,126,32,25.7,14448,Bolt
Clare,2021,85,25,29.6,5353,Deliveroo
Clare,2022,85,29,35.2,10135,Airbnb
Clare,2023,137,51,37.4,12632,Upwork
Clare,2024,89,37,42.5,6384,Fiverr
Clare,2025,83,39,47.2,13561,Deliveroo
Cork,2018,492,95,19.3,11337,Fiverr
Cork,2019,561,114,20.3,9246,TaskRabbit
Cork,2020,308,77,25.2,9509,Deliveroo
Cork,2021,435,138,31.9,14383,JustEat
Cork,2022,492,166,33.8,15657,Deliveroo
Cork,2023,343,126,36.8,6176,JustEat
Cork,2024,468,197,42.3,16434,TaskRabbit
Cork,2025,264,117,44.5,15682,Deliveroo
Donegal,2018,126,20,16.6,10746,Deliveroo
Donegal,2019,116,26,22.9,6722,Bolt
Donegal,2020,86,22,25.8,13563,Deliveroo
Donegal,2021,135,42,31.8,5294,Bolt
Donegal,2022,66,22,34.1,6165,Deliveroo
Donegal,2023,60,23,39.8,13010,TaskRabbit
Donegal,2024,98,41,41.9,12009,Fiverr
Donegal,2025,93,44,47.8,10001,Deliveroo
Dublin,2018,705,140,19.9,13876,Deliveroo
Dublin,2019,1275,292,22.9,7033,TaskRabbit
Dublin,2020,745,184,24.7,14643,Fiverr
Dublin,2021,690,219,31.8,8061,JustEat
Dublin,2022,780,267,34.3,14502,Other
Dublin,2023,1145,441,38.5,8137,Bolt
Dublin,2024,1005,410,40.8,7727,JustEat
Dublin,2025,965,434,45.0,11217,JustEat
Galway,2018,332,53,16.2,11135,Fiverr
Galway,2019,222,50,22.9,9359,Fiverr
Galway,2020,252,66,26.6,14589,Airbnb
Galway,2021,327,103,31.6,7023,Airbnb
Galway,2022,321,109,34.1,15142,Bolt
Galway,2023,314,117,37.3,7036,JustEat
Galway,2024,295,121,41.1,6024,Airbnb
Galway,2025,308,145,47.2,9086,Deliveroo
Kerry,2018,148,29,19.9,6991,Airbnb
Kerry,2019,151,33,22.2,13800,Upwork
Kerry,2020,143,39,27.4,6892,Fiverr
Kerry,2021,90,28,31.9,8002,Upwork
Kerry,2022,114,40,35.8,8249,Deliveroo
Kerry,2023,126,49,39.5,8729,Airbnb
Kerry,2024,156,64,41.4,16410,Upwork
Kerry,2025,162,72,44.8,9858,Deliveroo
Kildare,2018,218,42,19.6,14177,Deliveroo
Kildare,2019,231,49,21.3,9413,Deliveroo
Kildare,2020,203,50,24.8,12802,Upwork
Kildare,2021,248,73,29.5,14546,Other
Kildare,2022,196,62,32.1,5855,JustEat
Kildare,2023,143,54,37.9,13397,Fiverr
Kildare,2024,261,110,42.2,16299,Deliveroo
Kildare,2025,182,81,44.6,13682,Other
Kilkenny,2018,83,13,16.4,5010,Deliveroo
Kilkenny,2019,132,28,21.6,13898,TaskRabbit
Kilkenny,2020,91,22,24.7,11200,Bolt
Kilkenny,2021,139,42,30.8,12177,JustEat
Kilkenny,2022,133,47,35.5,6076,Other
Kilkenny,2023,92,34,37.4,15839,Upwork
Kilkenny,2024,122,51,42.0,7430,JustEat
Kilkenny,2025,83,39,47.0,8797,Deliveroo
Laois,2018,66,11,17.7,5579,Deliveroo
Laois,2019,75,15,20.5,13801,Deliveroo
Laois,2020,69,17,25.2,12644,Deliveroo
Laois,2021,68,20,30.1,14534,Deliveroo
Laois,2022,67,23,34.8,10978,Bolt
Laois,2023,70,27,38.9,14062,JustEat
Laois,2024,51,21,43.0,10313,JustEat
Laois,2025,48,21,44.7,9803,Fiverr
Leitrim,2018,54,10,19.7,7958,Deliveroo
Leitrim,2019,24,5,21.6,14495,Bolt
