case_id,year,county,sector,platform,claimant_age_band,outcome,worker_won,claim_type,duration_weeks
WRC-1000,2018,Galway,Freelance digital,JustEat,Under 25,Platform won,False,Misclassification,20
WRC-1001,2018,Kerry,Freelance digital,Other platform,Under 25,Withdrawn,False,Minimum wage,32
WRC-1002,2018,Wicklow,Ride-hailing,Bolt,35-44,Platform won,False,Misclassification,12
WRC-1003,2018,Cavan,Food delivery,Uber,25-34,Platform won,False,Misclassification,47
WRC-1004,2018,Tipperary,Food delivery,Bolt,45+,Worker won,True,Holiday pay,33
WRC-1005,2018,Cork,Freelance digital,Bolt,Under 25,Worker won,True,Unfair dismissal,44
WRC-1006,2018,Sligo,Freelance digital,JustEat,25-34,Settled,False,Unfair dismissal,17
WRC-1007,2018,Monaghan,Freelance digital,Unnamed employer,45+,Worker won,True,Minimum wage,26
WRC-1008,2018,Galway,Care work,Other platform,Under 25,Worker won,True,Unfair dismissal,38
WRC-1009,2018,Meath,Freelance digital,JustEat,25-34,Platform won,False,Misclassification,50
WRC-1010,2018,Monaghan,Ride-hailing,Uber,Under 25,Worker won,True,Misclassification,14
WRC-1011,2018,Dublin,Food delivery,Bolt,Under 25,Settled,False,Minimum wage,39
WRC-1012,2018,Dublin,Food delivery,Unnamed employer,25-34,Withdrawn,False,Misclassification,38
WRC-1013,2018,Limerick,Food delivery,Unnamed employer,45+,Withdrawn,False,Holiday pay,38
WRC-1014,2018,Donegal,Logistics,Unnamed employer,Under 25,Settled,False,Minimum wage,41
WRC-1015,2018,Kildare,Cleaning,JustEat,Under 25,Withdrawn,False,Minimum wage,45
WRC-1016,2018,Cork,Ride-hailing,JustEat,Under 25,Platform won,False,Misclassification,13
WRC-1017,2018,Kildare,Ride-hailing,JustEat,25-34,Settled,False,Misclassification,27
WRC-1018,2018,Cork,Logistics,Unnamed employer,35-44,Settled,False,Minimum wage,5
WRC-1019,2018,Louth,Ride-hailing,JustEat,35-44,Platform won,False,Holiday pay,46
WRC-1020,2018,Wexford,Ride-hailing,Bolt,Under 25,Platform won,False,Unfair dismissal,14
WRC-1021,2018,Dublin,Food delivery,Deliveroo,35-44,Settled,False,Holiday pay,48
WRC-1022,2018,Meath,Food delivery,Deliveroo,25-34,Settled,False,Holiday pay,46
WRC-1023,2018,Tipperary,Logistics,Unnamed employer,45+,Platform won,False,Minimum wage,44
WRC-1024,2018,Carlow,Food delivery,Deliveroo,Under 25,Platform won,False,Misclassification,17
WRC-1025,2018,Dublin,Food delivery,Bolt,25-34,Settled,False,Minimum wage,44
WRC-1026,2019,Offaly,Food delivery,JustEat,Under 25,Worker won,True,Misclassification,15
WRC-1027,2019,Wicklow,Ride-hailing,JustEat,25-34,Platform won,False,Misclassification,5
WRC-1028,2019,Galway,Ride-hailing,Uber,25-34,Worker won,True,Minimum wage,24
WRC-1029,2019,Cork,Food delivery,Deliveroo,Under 25,Settled,False,Unfair dismissal,51
WRC-1030,2019,Dublin,Food delivery,Other platform,25-34,Settled,False,Minimum wage,29
WRC-1031,2019,Cork,Food delivery,JustEat,25-34,Platform won,False,Minimum wage,11
WRC-1032,2019,Dublin,Food delivery,Uber,Under 25,Platform won,False,Misclassification,18
WRC-1033,2019,Dublin,Care work,Other platform,25-34,Settled,False,Misclassification,47
WRC-1034,2019,Clare,Ride-hailing,Other platform,25-34,Platform won,False,Unfair dismissal,23
WRC-1035,2019,Cork,Freelance digital,Unnamed employer,25-34,Worker won,True,Misclassification,28
WRC-1036,2019,Limerick,Cleaning,Uber,25-34,Settled,False,Misclassification,4
WRC-1037,2019,Galway,Food delivery,Deliveroo,45+,Platform won,False,Minimum wage,37
WRC-1038,2019,Kilkenny,Food delivery,Deliveroo,Under 25,Withdrawn,False,Holiday pay,33
WRC-1039,2019,Sligo,Freelance digital,JustEat,25-34,Worker won,True,Minimum wage,6
WRC-1040,2019,Louth,Freelance digital,Uber,Under 25,Worker won,True,Minimum wage,40
WRC-1041,2019,Dublin,Ride-hailing,Unnamed employer,Under 25,Withdrawn,False,Misclassification,10
WRC-1042,2019,Kildare,Food delivery,Other platform,Under 25,Worker won,True,Holiday pay,5
WRC-1043,2019,Limerick,Food delivery,Deliveroo,25-34,Settled,False,Misclassification,36
WRC-1044,2019,Meath,Ride-hailing,Bolt,Under 25,Settled,False,Unfair dismissal,21
WRC-1045,2019,Limerick,Cleaning,JustEat,25-34,Worker won,True,Unfair dismissal,51
WRC-1046,2019,Meath,Logistics,Other platform,Under 25,Settled,False,Unfair dismissal,39
WRC-1047,2019,Dublin,Ride-hailing,Bolt,25-34,Platform won,False,Unfair dismissal,5
WRC-1048,2019,Meath,Cleaning,Bolt,25-34,Withdrawn,False,Minimum wage,5
WRC-1049,2019,Waterford,Ride-hailing,JustEat,35-44,Settled,False,Misclassification,32
WRC-1050,2019,Dublin,Food delivery,JustEat,Under 25,Worker won,True,Misclassification,44
WRC-1051,2019,Kildare,Cleaning,Unnamed employer,25-34,Platform won,False,Minimum wage,5
WRC-1052,2019,Dublin,Food delivery,Bolt,25-34,Worker won,True,Unfair dismissal,27
WRC-1053,2020,Meath,Food delivery,Bolt,25-34,Worker won,True,Misclassification,7
WRC-1054,2020,Cavan,Logistics,Uber,45+,Settled,False,Holiday pay,47
WRC-1055,2020,Dublin,Cleaning,Deliveroo,25-34,Worker won,True,Minimum wage,49
WRC-1056,2020,Galway,Cleaning,Other platform,Under 25,Platform won,False,Misclassification,32
WRC-1057,2020,Dublin,Freelance digital,Bolt,25-34,Worker won,True,Minimum wage,27
WRC-1058,2020,Cork,Food delivery,Deliveroo,35-44,Worker won,True,Misclassification,23
WRC-1059,2020,Kerry,Food delivery,Other platform,25-34,Worker won,True,Holiday pay,42
WRC-1060,2020,Cork,Logistics,Deliveroo,35-44,Worker won,True,Misclassification,35
WRC-1061,2020,Dublin,Freelance digital,Unnamed employer,35-44,Platform won,False,Minimum wage,43
WRC-1062,2020,Dublin,Logistics,JustEat,35-44,Settled,False,Minimum wage,30
WRC-1063,2020,Waterford,Food delivery,Deliveroo,Under 25,Worker won,True,Minimum wage,12
WRC-1064,2020,Dublin,Logistics,Uber,25-34,Worker won,True,Misclassification,19
WRC-1065,2020,Kildare,Food delivery,Bolt,Under 25,Settled,False,Misclassification,25
WRC-1066,2020,Meath,Food delivery,Deliveroo,Under 25,Worker won,True,Holiday pay,30
WRC-1067,2020,Dublin,Food delivery,Bolt,25-34,Platform won,False,Unfair dismissal,37
WRC-1068,2020,Waterford,Cleaning,Uber,Under 25,Settled,False,Misclassification,38
WRC-1069,2020,Cavan,Food delivery,Bolt,Under 25,Platform won,False,Holiday pay,32
WRC-1070,2020,Donegal,Freelance digital,Bolt,35-44,Worker won,True,Misclassification,26
WRC-1071,2020,Donegal,Food delivery,Bolt,25-34,Worker won,True,Misclassification,36
WRC-1072,2020,Mayo,Cleaning,Other platform,25-34,Worker won,True,Holiday pay,29
WRC-1073,2020,Dublin,Food delivery,Other platform,Under 25,Settled,False,Misclassification,6
WRC-1074,2020,Louth,Freelance digital,JustEat,25-34,Worker won,True,Misclassification,28
WRC-1075,2020,Kerry,Freelance digital,JustEat,25-34,Worker won,True,Unfair dismissal,4
WRC-1076,2020,Dublin,Food delivery,JustEat,35-44,Settled,False,Unfair dismissal,33
WRC-1077,2020,Tipperary,Food delivery,Other platform,25-34,Worker won,True,Misclassification,27
WRC-1078,2020,Galway,Ride-hailing,Other platform,Under 25,Settled,False,Holiday pay,48
WRC-1079,2020,Meath,Logistics,Other platform,25-34,Worker won,True,Holiday pay,5
WRC-1080,2020,Wicklow,Freelance digital,Deliveroo,Under 25,Withdrawn,False,Minimum wage,24
WRC-1081,2020,Galway,Logistics,Deliveroo,Under 25,Worker won,True,Misclassification,27
WRC-1082,2020,Galway,Cleaning,Uber,Under 25,Worker won,True,Holiday pay,38
WRC-1083,2020,Kildare,Ride-hailing,Unnamed employer,45+,Settled,False,Misclassification,21
WRC-1084,2020,Dublin,Food delivery,Other platform,Under 25,Platform won,False,Misclassification,50
WRC-1085,2020,Dublin,Care work,Bolt,Under 25,Platform won,False,Minimum wage,34
WRC-1086,2021,Kildare,Ride-hailing,Bolt,25-34,Settled,False,Holiday pay,32
WRC-1087,2021,Louth,Cleaning,Bolt,25-34,Settled,False,Minimum wage,19
WRC-1088,2021,Dublin,Cleaning,Uber,Under 25,Platform won,False,Minimum wage,12
WRC-1089,2021,Offaly,Care work,Uber,Under 25,Settled,False,Misclassification,25
WRC-1090,2021,Longford,Food delivery,Uber,Under 25,Platform won,False,Holiday pay,27
WRC-1091,2021,Roscommon,Care work,Uber,35-44,Withdrawn,False,Misclassification,43
WRC-1092,2021,Cork,Food delivery,JustEat,35-44,Settled,False,Holiday pay,14
WRC-1093,2021,Wexford,Food delivery,JustEat,25-34,Settled,False,Minimum wage,12
WRC-1094,2021,Dublin,Food delivery,Bolt,25-34,Worker won,True,Holiday pay,15
WRC-1095,2021,Dublin,Logistics,Deliveroo,25-34,Worker won,True,Minimum wage,37
WRC-1096,2021,Cork,Care work,Uber,35-44,Settled,False,Misclassification,15
WRC-1097,2021,Dublin,Food delivery,JustEat,25-34,Worker won,True,Minimum wage,41
WRC-1098,2021,Clare,Ride-hailing,JustEat,Under 25,Worker won,True,Minimum wage,35
WRC-1099,2021,Cork,Food delivery,Deliveroo,25-34,Worker won,True,Holiday pay,31
WRC-1100,2021,Kerry,Cleaning,Unnamed employer,Under 25,Worker won,True,Misclassification,46
WRC-1101,2021,Cork,Food delivery,JustEat,Under 25,Worker won,True,Holiday pay,45
WRC-1102,2021,Cork,Care work,JustEat,Under 25,Worker won,True,Misclassification,9
WRC-1103,2021,Dublin,Ride-hailing,Unnamed employer,45+,Withdrawn,False,Misclassification,25
WRC-1104,2021,Dublin,Food delivery,Bolt,25-34,Worker won,True,Minimum wage,32
WRC-1105,2021,Mayo,Ride-hailing,JustEat,25-34,Settled,False,Misclassification,20
WRC-1106,2021,Cork,Ride-hailing,Uber,25-34,Withdrawn,False,Misclassification,5
WRC-1107,2021,Roscommon,Freelance digital,JustEat,Under 25,Platform won,False,Minimum wage,51
WRC-1108,2021,Meath,Logistics,Unnamed employer,45+,Settled,False,Misclassification,12
WRC-1109,2021,Roscommon,Ride-hailing,Bolt,25-34,Worker won,True,Misclassification,5
WRC-1110,2021,Wexford,Freelance digital,JustEat,35-44,Worker won,True,Holiday pay,43
WRC-1111,2021,Limerick,Ride-hailing,Bolt,35-44,Worker won,True,Minimum wage,4
WRC-1112,2021,Meath,Food delivery,Other platform,45+,Worker won,True,Misclassification,34
WRC-1113,2021,Dublin,Care work,Uber,25-34,Platform won,False,Misclassification,5
WRC-1114,2021,Laois,Care work,Uber,Under 25,Platform won,False,Minimum wage,25
WRC-1115,2021,Cork,Freelance digital,Other platform,45+,Worker won,True,Misclassification,49
WRC-1116,2021,Kildare,Freelance digital,Other platform,Under 25,Worker won,True,Misclassification,20
WRC-1117,2021,Galway,Food delivery,JustEat,35-44,Platform won,False,Misclassification,45
WRC-1118,2021,Westmeath,Ride-hailing,Bolt,25-34,Settled,False,Misclassification,19
WRC-1119,2021,Dublin,Food delivery,Other platform,Under 25,Settled,False,Unfair dismissal,43
WRC-1120,2021,Wicklow,Food delivery,Deliveroo,Under 25,Worker won,True,Minimum wage,50
WRC-1121,2021,Dublin,Ride-hailing,Deliveroo,25-34,Worker won,True,Misclassification,51
